awardee,awarder,label,order_date,scope_of_work,Prediction
Undisclosed,"Public Works Department, Punjab",roads infra,28-03-2018 00:00,"Anilkumar and Sons bagged a contract for construction of road for weigh bridge & parking at Mega Food Park, Ladhowal in Ludhiana district of Punjab.",bridges infra
"Bibhudatta Pradhan, Odisha","Rural Water Supply & Sanitation Department, Odisha",wet infra,18-05-2018 00:00,Bibhudatta Pradhan bagged a contract for execution of RPWS scheme to village Nimapur Sasan under Pattamundai block in Kendrapada district of Odisha. (Contact details are not available),wet infra
Undisclosed,"Water Resources Department, Madhya Pradesh",wet infra,24-03-2018 00:00,Santosh Thakre bagged a contract for resectioning & lining of main canal (Ch. 955 to 1056) Badgaon distributory (Ch. 0 to 335) & 5 nos. minors & its structures of Nahlesara tank project (Phase-II) in Balaghat district of Madhya Pradesh.,wet infra
Undisclosed,Airports Authority of India,Air Infra,28-09-2018 00:00,"Rajasthan Crane Services bagged a contract for construction of apron at Jaipur International Airport, Jaipur. (Sub Head: SITC of apron flood lighting system)",Air Infra
Undisclosed,"Public Works Department, Madhya Pradesh",roads infra,24-07-2018 00:00,Santosh Kumar Gupta bagged a contract for construction of Madiyan-Hinota-Bilha Road (length 8.10 km) in Panna district of Madhya Pradesh.,roads infra
Larsen & Toubro Ltd.,SB Energy One Pvt. Ltd.,ptd infra,2/2/2018 0:00,Larsen & Toubro bagged a contract for building a 100MW (AC) solar photovoltaic power plant at Bhadla Phase III Solar Park in Rajasthan. (This is part of cumulative order bagged worth Rs. 590.00 crore) ,ptd infra
"Subhendu Kumar Mohanty, Odisha","Public Works Department, Odisha",wet infra,2/6/2018 0:00,"Subhendu Kumar Mohanty bagged a contract for renovation of link drain of Belpal drainage cum creek, Jagannathpur Sasan High School to Angarua, Bandhapada to Nurugaon, Pokharisahi bridge to Rice mill, Nuruagaon Nala and Bandhapada to Madanpur in Odisha. (Contact details are not available)",roads infra
Badami Builders,Greater Noida Industrial Devp. Authority,public space infra,22-05-2017 00:00,"Badami Builders bagged a contract for construction of boundary wall of affordable houses along village side in sector Mu-II in Greater Noida, Gautam Budh Nagar district of Uttar Pradesh. (Contact details are not available)",roads infra
Undisclosed,"Public Works Department, Madhya Pradesh",roads infra,17-04-2018 00:00,"Prabha Exim bagged a contract for construction of third leg of ROB Railway across L.C.No-250 Km. 494/03-04 [Ratlam-Khandwa Section] on Roaji Bazar-Lohamandi Road, near Gadi Adda, Indore.",bridges infra
Undisclosed,Karnataka State Police Housing & Infrastructure Development Corpn. Ltd.,public space infra,18-03-2017 00:00,"V Madhavadas bagged a contract for construction of police station grade 3 at Nanjangud Biligere, Mysuru district of Karnataka. ",public space infra
A2Z Infra Engineering Ltd.,Chhattisgarh State Power Distribution Co. Ltd.,ptd infra,8/3/2017 0:00,A2Z Infra Engineering bagged a contract for execution of works for supply of material and erection of lines & substations under Integrated Power Distribution Scheme (IPDS) of Durg Region in Chhattisgarh on semi turnkey basis. (Package- 2),ptd infra
Sangha Erectors Pvt. Ltd.,NTPC Ltd.,wet infra,6/2/2018 0:00,"Sangha Erectors bagged a contract for renovation & modification of sewerage system and external water supply in PTS, Telangana STPP, Phase- I (2x800 MW) in Karimnagar district of Telangana.",wet infra
Jogindra Engineering Works Pvt. Ltd.,Indian Oil Corpn. Ltd.,public space infra,10/10/2017 0:00,Jogindra Engineering Works bagged a contract of development of new A site retail outlet (resitement) M/s Highway Motors at Kutubpur on NH-09 under Hissar Divisional Office in Haryana.,public space infra
Serman India Road Makers Pvt. Ltd.,"Public Works Department, Madhya Pradesh",roads infra,1/10/2018 0:00,Serman India Road Makers bagged a contract for construction of Bhadbhada-Bilkisganj Road (Length- 8.00 km) in Bhopal district of Madhya Pradesh.,roads infra
"Singhal Enterprises, Kolkata",Jharkhand Urban Infrastructure Devp. Co. Ltd.,public space infra,3/4/2017 0:00,Singhal Enterprises bagged a contract for construction of Deoghar Municipal Building at Deoghar district of Jharkhand.,public space infra
M.R. Enterprise,"Public Works Department, West Bengal",public space infra,24-10-2017 00:00,"M.R. Enterprise bagged a contract for construction of 2 storied ""Karmatirtha"" at Samserganj Block in Murshidabad district of West Bengal.",public space infra
KEC International Ltd.,Undisclosed,ptd infra,29-01-2019 00:00,KEC International bagged a turnkey contract for 500 kV AIS substation project in Thailand. (This is part of cumulative order bagged worth Rs.1584 crore) ,ptd infra
Vascon Engineers Pvt. Ltd.,Adhiraj Constructions Pvt. Ltd.,public space infra,19-04-2018 00:00,"Vascon Engineers bagged a contract for civil and structural works (residential township) at Rohinjan Village, Taloja Node, Navi Mumbai.",public space infra
Undisclosed,Airports Authority of India,Air Infra,14-09-2017 00:00,"Sai Baba Hi-Tech Fencing bagged a contract for raising of city side boundary wall height by placing concertina coils on boundary wall at Chandigarh International Airport, Chandigarh Mohali Side.",Air Infra
Undisclosed,Indian Oil Corpn. Ltd.,public space infra,28-04-2017 00:00,"AB Associates bagged a contract for construction of new retail outlet Phase- II at Venkamedu to Semmadai, Karur district of Tamil Nadu under Salem DO.",public space infra
L N Malviya Infra Projects Pvt. Ltd.,National Highways & Infrastructure Devp. Corpn. Ltd.,roads infra,27-07-2017 00:00,L N Malviya Infra Projects in association with Agnitio Infrastructure Project bagged a contract for 2 laning with paved shoulder of Namchi-Ravangla-Tashiding-Yusksum-Geyzing Road section (Length- 122 km) in the state of Sikkim. ,roads infra
Undisclosed,"Public Works Department, Kerala",public space infra,10/5/2017 0:00,"M A Hakkim bagged a contract for upgradation of existing Puzhakkal Padam building- finishing works (civil), plumbing works in Thrissur district of Kerala.",public space infra
Undisclosed,"Water Resources Department, Madhya Pradesh",wet infra,14-08-2018 00:00,Totaram Sharma bagged a contract for construction of Bisnori Stop Dam project as per detailed scope of work but not limited to that in Madhya Pradesh on turnkey basis.,wet infra
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
